bookid,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher
33439,Strawberry Shortcake Murder (Hannah Swensen  #2),Joanne Fluke,3.85,1575667215,9.78158E+12,eng,320.0,14668,881,02/02/2002,Kensington
1537,The Oedipus Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,Sophocles/Paul Roche,3.97,0452011671,9.78045E+12,eng,288.0,553,46,05/01/1996,Plume
32330,Air Gear  Vol. 1 (Air Gear  #1),Oh! Great/大暮 維人,3.92,0345492781,9.78035E+12,eng,224.0,1875,37,7/25/2006,Del Rey
24010,"Laguna  I Love You: The Best of ""Our Town""",John Weld/Phil Interlandi,0.0,1564741575,9.78156E+12,eng,285.0,0,0,03/01/1996,Fithian Press
6544,The Scarpetta Collection: All That Remains / Cruel & Unusual (Kay Scarpetta  #3  #4),Patricia Cornwell,4.16,074325581X,9.78074E+12,eng,672.0,30,2,11/11/2003,Scribner
1365,The Histories,Herodotus/Carolyn Dewald/Robin Waterfield,3.99,0192824252,9.78019E+12,eng,772.0,271,41,11/19/1998,Oxford University Press
3774,The Subterraneans,Jack Kerouac,3.68,0141184892,9.78014E+12,eng,192.0,426,42,09/06/2007,Penguin Books Ltd
45169,Step on a Crack (Michael Bennett  #1),James Patterson/Michael Ledwidge,4.01,0316013943,9.78032E+12,eng,383.0,37552,1592,02/06/2007,Little Brown and Company
33751,Die Naschkatzen,Jennifer Crusie,3.94,3442448964,9.78344E+12,ger,480.0,15,1,04/01/2001,Goldmann Verlag
12564,Sometimes a Great Notion,Ken Kesey/Charles Bowden,4.17,0143039865,9.78014E+12,eng,715.0,577,80,8/29/2006,Penguin Classics
5089,A Short History of Nearly Everything (Illustrated Edition),Bill Bryson,4.21,0385663552,9.78039E+12,eng,624.0,28,7,10/05/2010,Anchor Canada
26327,The Power of Truth: A Leading with Emotional Intelligence Conversation with Warren Bennis,Daniel Goleman/Warren Bennis,3.82,1593979746,9.78159E+12,eng,0.0,11,2,11/14/2006,Macmillan Audio
15438,Firefly,Piers Anthony,3.25,0380759500,9.78038E+12,eng,466.0,2420,128,03/01/1992,Avon Books
14693,The Sword of Welleran and Other Stories,Lord Dunsany/Sidney H. Sime,4.01,0486442179,9.78049E+12,eng,112.0,328,41,04/01/2005,Dover Publications
36956,Grizzwold,Syd Hoff,3.82,0064440575,9.78006E+12,eng,64.0,214,23,09/05/1984,HarperCollins
22802,犬夜叉 22,Rumiko Takahashi,4.25,4091256422,9.78409E+12,jpn,192.0,13,1,08/09/2001,小学館
702,Modern Latin America,Thomas E. Skidmore/Peter H. Smith,3.59,019517013X,9.7802E+12,en-US,528.0,234,11,10/07/2004,Oxford University Press  USA
33809,Word of Honor,Nelson DeMille,4.17,0446674826,9.78045E+12,eng,880.0,8296,275,09/01/1998,Grand Central Publishing
32121,Last Rights (Francis Hancock #1),Barbara Nadel,3.53,0755321367,9.78076E+12,eng,352.0,132,15,01/02/2006,Headline
10654,Coach: Lessons on the Game of Life,Michael   Lewis,3.82,0393060918,9.78039E+12,en-US,96.0,1502,167,4/17/2005,W. W. Norton  Company
33282,Jessica's Bad Idea (Sweet Valley Twins and Friends  #31),Francine Pascal/Jamie Suzanne,3.46,0553157272,9.78055E+12,eng,104.0,318,6,08/01/1989,Bantam
7781,The 500 Hats of Bartholomew Cubbins,Dr. Seuss,4.04,039484484X,9.78039E+12,eng,56.0,13097,324,12/09/1989,Random House Books for Young Readers
6980,The Dance of the Dissident Daughter: A Woman's Journey from Christian Tradition to the Sacred Feminine,Sue Monk Kidd,3.95,0061144908,9.78006E+12,en-US,253.0,572,70,12/26/1996,HarperOne
12113,Six Characters in Search of an Author and Other Plays,Luigi Pirandello/Mark Musa,3.95,014018922X,9.78014E+12,eng,224.0,2935,63,6/29/1995,Penguin Classics
42688,Hemingway vs. Fitzgerald,Scott Donaldson,3.85,1585671266,9.78159E+12,eng,352.0,185,19,12/01/2001,Harry N. Abrams
9632,Switch on the Night,Ray Bradbury/Leo Dillon/Diane Dillon,4.13,0553112449,9.78055E+12,en-US,40.0,198,12,9/14/2004,Dragonfly Books
5084,My Life in France,Julia Child/Alex Prud'Homme,4.17,1400043468,9.7814E+12,eng,336.0,69153,6152,04/04/2006,Knopf Publishing Group
37780,Anatomy of a Boyfriend (Anatomy  #1),Daria Snadowsky,3.41,0385733208,9.78039E+12,eng,259.0,4470,485,01/09/2007,Delacorte Press
12301,The Scarlet Letter,Nathaniel Hawthorne,3.4,074326469X,9.78074E+12,eng,538.0,534,11,08/02/2005,Kaplan
12099,Three Plays: Exit the King / The Killer / Macbett,Eugène Ionesco/Charles Marowitz/Donald   Watson,4.11,0802151108,9.7808E+12,eng,105.0,175,9,1/13/1994,Grove Press
44321,A Cargo of Women: Susannah Watson and the Convicts of the Princess Royal,Babette Smith,3.58,1877058335,9.78188E+12,eng,264.0,0,0,06/01/2005,Rosenberg Publishing
38673,Peter Pan in Kensington Gardens / Peter and Wendy,J.M. Barrie/Peter Hollindale,4.06,0192839292,9.78019E+12,eng,288.0,4206,102,10/28/1999,Oxford University Press
32350,Mutants & Masterminds: RPG,Steve Kenson/Ramón Pérez,3.81,1932442529,9.78193E+12,eng,253.0,305,8,11/01/2005,Green Ronin Publishing
27333,Silent Spring,Rachel Carson/Linda Lear/Edward O. Wilson,3.97,0618249060,9.78062E+12,eng,378.0,30281,1694,10/22/2002,Mariner Books
21328,Fables  Vol. 6: Homelands,Bill Willingham/David Hahn/Mark Buckingham/Lan Medina/Steve Leialoha,4.28,1401205003,9.7814E+12,eng,190.0,21472,637,1/27/2006,Vertigo
23011,In the Beginning: The Story of the King James Bible and How it Changed a Nation  a Language  and a Culture,Alister E. McGrath,3.97,0385722168,9.78039E+12,eng,354.0,515,76,2/19/2002,Anchor
935,Geisha of Gion,Mineko Iwasaki/Rande Brown,3.93,074343059X,9.78074E+12,eng,334.0,1556,158,05/06/2003,Pocket Books
42415,The Little Fire Engine,Lois Lenski,3.56,0375810706,9.78038E+12,eng,56.0,209,27,10/24/2000,Random House Books for Young Readers
21498,The Black Marble,Joseph Wambaugh,3.83,0440613965,9.78044E+12,en-US,416.0,936,45,09/02/1998,Dell
12789,Falling Angels (Luc Actar #1),Melissa M. Garcia,4.67,0595377106,9.7806E+12,eng,216.0,1,0,2/14/2006,iUniverse
15529,II Maccabees,Anonymous/Jonathan  A. Goldstein,4.04,0385048645,9.78039E+12,eng,595.0,24,2,10/11/1983,Anchor Bible
12412,The Complete Fiction of Nella Larsen: Passing  Quicksand  and the Stories,Nella Larsen/Charles Larson/Marita Golden,4.14,0385721005,9.78039E+12,eng,278.0,824,59,11/06/2001,Anchor Books
537,The Lovely Bones,Alice Sebold,3.81,0330485385,9.78033E+12,en-GB,328.0,6485,966,06/01/2003,Picador
6553,The Manhattan Hunt Club,John Saul,3.98,0345490649,9.78035E+12,eng,384.0,4889,221,3/28/2006,Ballantine Books
35440,Star Wars: Clone Wars  Volume 6: On the Fields of Battle,John Ostrander/Jan Duursema,4.04,1593073526,9.78159E+12,eng,168.0,487,18,08/02/2005,Dark Horse Books
13881,Rage of a Demon King (The Serpentwar Saga  #3),Raymond E. Feist,4.05,0380974738,9.78038E+12,en-US,436.0,21965,92,04/01/1997,Avon Books
40005,Hannibal's Children,John Maddox Roberts,3.68,0441010385,9.78044E+12,eng,359.0,204,18,3/25/2003,Berkley Publishing Group
3841,Lectures on Don Quixote,Vladimir Nabokov/Fredson Bowers/Guy Davenport/Miguel de Cervantes Saavedra/Samuel Putnam,3.87,0156495406,9.78016E+12,eng,240.0,275,14,4/18/1984,Harcourt Brace Jovanovich
37539,Egyptian Myth: A Very Short Introduction,Geraldine Pinch,3.61,0192803468,9.78019E+12,eng,143.0,189,18,07/08/2004,Oxford University Press  USA
24761,An Acceptable Time (Time Quintet  #5),Madeleine L'Engle,3.82,0440208149,9.78044E+12,eng,343.0,16434,639,12/01/1990,Laurel Leaf Books
9330,The House of the Spirits,Isabel Allende/Madga Bogin/Christopher Hitchens,4.23,1400043182,9.7814E+12,eng,488.0,270,49,4/19/2005,Everyman's Library
43394,Orwell in Spain: The Full Text of Homage to Catalonia  with Associated Articles  Reviews and Letters from the Complete Works of George Orwell,George Orwell/Christopher Hitchens,4.14,0141185163,9.78014E+12,eng,416.0,211,16,05/03/2001,Penguin Classics
17236,Dracula,Bram Stoker/Jan Needle/Gary Blythe,3.99,0744586534,9.78074E+12,eng,336.0,73,8,10/04/2004,Walker Books Ltd
1022,Read My Lips: Sexual Subversion and the End of Gender,Riki Anne Wilchins,3.95,1563410907,9.78156E+12,en-US,288.0,253,17,06/01/2005,Firebrand Books
12074,Wittgenstein's Poker: The Story of a Ten-Minute Argument Between Two Great Philosophers,David Edmonds/John Eidinow,3.76,0060936649,9.78006E+12,eng,368.0,2284,169,9/17/2002,Ecco
30260,A Fistful of Charms (The Hollows  #4),Kim Harrison,4.29,0060788194,9.78006E+12,eng,510.0,47773,1109,6/27/2006,HarperTorch
7672,Congo,Michael Crichton,3.59,0060541830,9.78006E+12,eng,442.0,144636,1546,10/28/2003,Avon Books
28202,The Metaphysical Club,Louis Menand,4.07,0007126905,9.78001E+12,eng,560.0,3445,349,02/01/2010,HarperCollins Publishers
39785,How Do You Lose Those Ninth-grade Blues?,Barthe DeClements,3.74,0140363335,9.78014E+12,eng,144.0,10,1,04/01/1993,Puffin
13931,Foxmask (Saga of the Light Isles  #2),Juliet Marillier,4.1,0765345919,9.78077E+12,eng,560.0,4123,145,11/01/2005,Tor Fantasy
16575,Color Drawing: Design Drawing Skills and Techniques for Architects  Landscape Architects  and Interior Designers,Michael E. Doyle,4.26,0471292451,9.78047E+12,eng,360.0,161,3,6/30/1999,Wiley
17174,A Yellow Raft in Blue Water,Michael Dorris,3.86,0312421850,9.78031E+12,en-US,372.0,16190,897,03/05/2003,Picador USA
40016,Young Goodman Brown and Other Short Stories,Nathaniel Hawthorne,3.86,0486270602,9.78049E+12,eng,111.0,9101,126,02/05/1992,Dover Publications
25246,Hegel: A Very Short Introduction,Peter Singer,3.86,019280197X,9.78019E+12,eng,131.0,1141,122,12/06/2001,Oxford University Press
30675,The Thirteenth Tribe,Arthur Koestler,3.93,0330250698,9.78033E+12,eng,224.0,9,3,09/09/1977,Picador
333,The Zebra Wall,Kevin Henkes,3.44,0060733039,9.78006E+12,eng,147.0,217,24,2/15/2005,Greenwillow Books
28061,Situationist International Anthology: Revised and Expanded Edition,Ken Knabb,4.26,0939682044,9.78094E+12,eng,532.0,678,11,03/01/2007,Bureau of Public Secrets
7011,A Midsummer Night's Dream,William Shakespeare/Roma Gill/B. Litt,3.94,0198321503,9.7802E+12,eng,102.0,126,7,7/28/2005,Oxford University Press  USA
20237,Legacy of the Dead (Inspector Ian Rutledge  #4),Charles Todd,4.15,0553583158,9.78055E+12,eng,356.0,4081,316,06/01/2001,Bantam Books
2877,Tom Hunter: Living in Hell and Other Stories,Tom Hunter/Tracy Chevalier/Colin Wiggins,3.64,1857093313,9.78186E+12,en-GB,80.0,42,0,03/08/2006,National Gallery London
8951,The Lake of Souls (Cirque du Freak #10),Darren Shan,4.18,0316016659,9.78032E+12,eng,272.0,18536,350,09/06/2006,Little  Brown Books for Young Readers
32591,The Last Joy,Knut Hamsun/Sverre Lyngstad,3.77,1931243190,9.78193E+12,eng,250.0,129,8,07/01/2002,Green Integer
33883,Broken Vessels,Andre Dubus,4.33,0879239484,9.78088E+12,eng,195.0,351,45,11/01/1992,David R. Godine Publisher
37731,Just as Long as We're Together,Judy Blume,4.07,0330398040,9.78033E+12,eng,202.0,9375,422,04/09/2001,Macmillan Children's Books
7815,The Year of Magical Thinking,Joan Didion,3.89,1400078431,9.7814E+12,eng,227.0,120758,8711,2/13/2007,Vintage
45259,Anthony Thwaite: In Conversation With Peter Dale and Ian Hamilton,Peter  Dale/Ian          Hamilton/Anthony Thwaite,0.0,0953284123,9.78095E+12,eng,96.0,0,0,12/09/1999,Between the Lines Productions
43636,Atlantic Shift,Emily Barr,3.31,0755301943,9.78076E+12,eng,406.0,138,12,3/14/2005,Headline Review
18315,The Picture of Dorian Gray,Oscar Wilde,4.08,1420925288,9.78142E+12,en-US,124.0,838,52,01/01/2005,Digireads.com
11044,The Diary of Anaïs Nin  Vol. 3: 1939-1944,Anaïs Nin/Gunther Stuhlmann,4.18,0156260271,9.78016E+12,eng,348.0,1392,40,3/24/1971,Mariner Books
1771,Object-Oriented Programming in C++,Richard Johnsonbaugh/Martin Kalin,4.07,0130158852,9.78013E+12,eng,640.0,14,0,8/13/1999,Prentice Hall
3582,The New Annotated Sherlock Holmes: The Complete Short Stories,Arthur Conan Doyle/Leslie S. Klinger,4.64,0393059162,9.78039E+12,eng,1878.0,1411,54,11/30/2004,W. W. Norton & Company
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,0743270797,9.78074E+12,en-US,320.0,308,40,9/27/2005,Scribner
26093,Identity,Milan Kundera/Linda Asher,3.68,0060175648,9.78006E+12,eng,176.0,266,31,4/21/1998,Harper
6956,The Radicalism of the American Revolution,Gordon S. Wood,4.06,0679736883,9.78068E+12,eng,447.0,4246,195,03/02/1993,Vintage
1377,The Iliad,Homer/W.H.D. Rouse,3.86,0451527372,9.78045E+12,en-US,312.0,158,15,08/01/1999,Signet Classics
30362,Charade,Sandra Brown,3.94,0446601853,9.78045E+12,en-US,496.0,6044,250,07/01/1995,Hachette Books
9299,Anybody Out There? (Walsh Family  #4),Marian Keyes,3.92,0060731303,9.78006E+12,eng,456.0,348,45,05/09/2006,William Morrow
17323,A Visitation of Spirits,Randall Kenan,3.76,0375703977,9.78038E+12,eng,272.0,449,38,1/25/2000,Vintage
21200,More Classic Italian Cooking,Marcella Hazan,4.48,0345314034,9.78035E+12,eng,465.0,64,3,07/12/1984,Ballantine Books
2034,Comoediae 1: Acharenses/Equites/Nubes/Vespae/Pax/Aves,Aristophanes/F.W. Hall/W.M. Geldart,5.0,0198145047,9.7802E+12,grc,364.0,0,0,2/22/1922,Oxford University Press  USA
22835,Ranma 1/2  Vol. 12 (Ranma ½ (US 2nd)  #12),Rumiko Takahashi,4.11,1591162866,9.78159E+12,eng,200.0,1102,19,8/17/2004,VIZ Media LLC
34524,Where's My Cow? (Discworld  #34.5),Terry Pratchett/Melvyn Grant,4.11,038560937X,9.78039E+12,eng,32.0,9116,294,10/01/2005,Doubleday
32434,Mr. Murder,Dean Koontz,3.76,0425210758,9.78043E+12,eng,493.0,22577,448,07/05/2006,Berkley
20694,Julius  the Baby of the World,Kevin Henkes,4.28,0688143881,9.78069E+12,eng,32.0,6697,348,9/21/1995,Greenwillow Books
5158,A Virtuous Woman,Kaye Gibbons,3.69,0375703063,9.78038E+12,eng,165.0,23170,587,11/05/1997,Vintage
35455,Star Wars: Rebellion  Vol. 1: My Brother  My Enemy,Rob Williams/Michel Lacombe,3.94,1593077114,9.78159E+12,eng,128.0,518,23,2/27/2007,Dark Horse
38583,Bite Me!: An Unofficial Guide to the World of Buffy the Vampire Slayer,Nikki Stafford,4.13,1550225405,9.78155E+12,en-US,450.0,338,8,09/01/2002,ECW Press
4329,H. P. Lovecraft's Dreamlands (Call of Cthulhu RPG),Chris  Williams/Sandy Petersen,3.97,1568821573,9.78157E+12,eng,260.0,98,2,02/02/2008,Chaosium
25016,Outposts: Journeys to the Surviving Relics of the British Empire,Simon Winchester,3.79,0060598611,9.78006E+12,eng,400.0,1209,106,6/15/2004,Harper Perennial
6539,The Body Farm (Kay Scarpetta  #5),Patricia Cornwell,4.05,0425201449,9.78043E+12,eng,351.0,57415,920,12/28/2004,Berkley
38860,Convergence Culture: Where Old and New Media Collide,Henry Jenkins,3.85,0814742815,9.78081E+12,en-GB,308.0,3147,118,08/01/2006,New York University Press
22390,Doom Patrol  Vol. 4: Musclebound,Grant Morrison/Richard Case/Mike Dringenberg/Mark McKenna/Jamie Hewlett/Steve Yeowell/Rian Hughes,4.15,1401209998,9.7814E+12,eng,256.0,2322,77,8/30/2006,Vertigo
5599,Ethics and the Limits of Philosophy,Bernard Williams,4.06,067426858X,9.78067E+12,en-US,230.0,556,20,3/15/1986,Harvard University Press
20781,Aesop's Fables,Aesop/Ann McGovern,4.05,0590438808,9.78059E+12,eng,80.0,108,10,11/01/1963,Scholastic Paperbacks
35288,All Over You (Secret Lives of Daytime Divas  #2),Sarah Mayberry,3.73,0373793243,9.78037E+12,eng,251.0,521,35,3/27/2007,Harlequin Blaze
29922,Gone for Soldiers: A Novel of the Mexican War,Jeff Shaara,4.14,0345427513,9.78035E+12,eng,424.0,191,18,07/03/2001,Ballantine Books
21543,The Poet (Jack McEvoy  #1; Harry Bosch Universe  #5),Michael Connelly/Buck Schirner,4.2,1423323238,9.78142E+12,eng,15.0,115,33,6/25/2006,Brilliance Audio
44735,The Elements of Typographic Style,Robert Bringhurst,4.24,0881792063,9.78088E+12,en-US,352.0,7564,206,9/27/2004,Hartley & Marks Publishers
28935,Intuition,Allegra Goodman,3.32,0385336101,9.78039E+12,eng,385.0,3248,590,3/13/2007,Dial Press
22724,¿Quién te lo ha contado?,Marian Keyes,3.79,8497936736,9.7885E+12,spa,648.0,169,9,12/30/2005,DeBolsillo
31891,A Short History of Modern Philosophy (Routledge Classics),Roger Scruton,3.8,0415267633,9.78042E+12,eng,328.0,348,23,11/11/2001,Routledge
37032,The Risk of Darkness (Simon Serrailler  #3),Susan Hill,3.95,0701179791,9.7807E+12,eng,320.0,3060,264,07/01/2006,Chatto & Windus
40718,The Sorrows of Empire: Militarism  Secrecy  and the End of the Republic,Chalmers Johnson/Shara Kay,4.13,0805077979,9.78081E+12,en-US,389.0,1332,75,04/01/2005,St. Martins Press-3PL
17582,The Norton Anthology of Short Fiction,Richard Bausch,4.18,0393926117,9.78039E+12,en-US,1776.0,663,15,01/05/2006,W. W. Norton & Company
45490,His Dark Materials Omnibus (His Dark Materials),Philip Pullman,4.26,0375947221,9.78038E+12,eng,944.0,70,9,04/10/2007,Knopf Books for Young Readers
2802,E=mc²: A Biography of the World's Most Famous Equation,David Bodanis,4.09,0425181642,9.78043E+12,eng,337.0,6368,321,10/01/2000,Berkley Trade
41602,The Non-Designer's Web Book,Robin P. Williams/John Tollett,3.66,0321303377,9.78032E+12,en-US,335.0,212,19,9/26/2005,Peachpit Press
31076,The New Knighthood: A History of the Order of the Temple,Malcolm Barber,3.84,0521558727,9.78052E+12,eng,441.0,126,7,9/29/1995,Cambridge University Press
39305,Minion (Vampire Huntress  #1),L.A. Banks,3.44,0312987013,9.78031E+12,eng,286.0,5531,493,05/04/2004,St. Martin's Paperback
3290,Eva Luna,Isabel Allende/Margaret Sayers Peden,3.97,0553383825,9.78055E+12,eng,320.0,430,23,8/30/2005,Dial Press
40941,The Scientists: A History of Science Told Through the Lives of Its Greatest Inventors,John Gribbin,4.08,0812967887,9.78081E+12,eng,672.0,892,59,08/10/2004,Random House Trade Paperbacks
24807,The Areas of My Expertise: An Almanac of Complete World Knowledge Compiled with Instructive Annotation and Arranged in Useful Order,John Hodgman,3.82,1594482225,9.78159E+12,eng,255.0,12002,741,09/05/2006,Penguin Books
1427,The Zahir,Paulo Coelho/Margaret Jull Costa,3.57,0060832819,9.78006E+12,eng,336.0,58917,2575,07/03/2006,HarperOne
7779,Horton Hears a Who!,Dr. Seuss,4.18,0679800034,9.78068E+12,eng,64.0,89920,1207,10/10/1990,Random House Books for Young Readers
45041,Mansfield Park,Jane Austen,3.86,0755331478,9.78076E+12,eng,454.0,142,18,5/15/2006,Headline
34296,The Builders,Maeve Binchy,3.97,1902602684,9.7819E+12,eng,87.0,664,82,11/01/2006,New Island Books
44208,The Frog King,Frank McConnell,3.6,0802757480,9.7808E+12,eng,226.0,10,1,07/01/1990,Walker & Company
11765,Americana,Don DeLillo,3.43,2868698220,9.78287E+12,eng,454.0,3683,238,08/10/1993,Actes Sud
23827,The Bishop's Boys: A Life of Wilbur and Orville Wright,Tom D. Crouch,4.17,039330695X,9.78039E+12,eng,608.0,143,28,4/17/2003,W. W. Norton  Company
13521,Son of a Witch (The Wicked Years  #2),Gregory Maguire/Douglas Smith/Jelena Bojić,3.47,0060747226,9.78006E+12,eng,352.0,52323,3023,9/26/2006,William Morrow Paperbacks
7053,In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency #6),Alexander McCall Smith,4.08,0375422714,9.78038E+12,eng,233.0,22026,912,4/19/2005,Pantheon
14535,El Perfume: Historia De Un Asesino,Patrick Süskind,4.02,8432216887,9.78843E+12,spa,312.0,17,1,2/19/2018,Planeta Publishing
41699,Polar Shift (NUMA Files  #6),Clive Cussler/Paul Kemprecos,3.91,0141017724,9.78014E+12,eng,504.0,7121,185,8/30/2005,Putnam
15464,Faun & Games (Xanth #21),Piers Anthony,3.76,0812555112,9.78081E+12,eng,352.0,4039,38,10/15/1997,Tor Fantasy
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,1595962808,9.7816E+12,eng,304.0,167,4,11/01/2005,Changeling Press
10148,The Complete Sherlock Holmes  Volume II,Arthur Conan Doyle/Kyle Freeman,4.47,1593080409,9.78159E+12,eng,709.0,874,57,10/01/2003,Barnes  Noble Classics
33418,Parallel Worlds: A Journey through Creation  Higher Dimensions  and the Future of the Cosmos,Michio Kaku,4.18,1400033721,9.7814E+12,eng,361.0,15096,452,2/14/2006,Anchor
23563,"Ebert's ""Bigger"" Little Movie Glossary",Roger Ebert/Ray Ebert,3.87,0836282892,9.78084E+12,en-US,228.0,82,9,12/03/2005,Andrews McMeel Publishing
9594,Timequake,Kurt Vonnegut Jr.,3.72,0099267543,9.7801E+12,eng,219.0,23527,822,08/06/1998,Vintage Classics
43893,Naked Empire (Sword of Truth  #8),Terry Goodkind,3.81,0765344300,9.78077E+12,eng,736.0,44561,556,06/01/2004,Tor Books
2619,Great Expectations,Charles Dickens/David Trotter/Charlotte Mitchell,3.77,0141439564,9.78014E+12,eng,512.0,14228,668,12/31/2002,Penguin Books
8840,Saint-Exupéry,Stacy Schiff/Antoine de Saint-Exupéry,4.02,0805079130,9.78081E+12,eng,560.0,208,27,02/07/2006,Holt Paperbacks
19088,The Politics and The Constitution of Athens,Aristotle/Stephen Everson,3.98,0521484006,9.78052E+12,eng,327.0,407,12,10/13/1996,Cambridge University Press
